model,case_id,annotation_file,body_file,row_idx,event,time,auto_found,match_type,matched_variant,evidence_sentence_idx,evidence_text,similarity_if_unfound,manual_label,manual_notes
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,22,cerebral angiography on day 3,72,0,not_found_auto,cerebral angiography on day 3,31,4 3D rotation angiography of the left internal carotid artery.,0.4667,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,31,guide wire used,72,0,not_found_auto,guide wire used,5,Chief complaint: Impaired consciousness,0.3774,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,40,unable to advance near aneurysm,72,0,not_found_auto,unable to advance near aneurysm,75,Table 1 Previous reports on distal mLSA aneurysms,0.475,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,41,DeFrictor nano catheter and TENROU S10 guide wire used,72,0,not_found_auto,defrictor nano catheter and tenrou s10 guide wire used,41,"After changing to a combination of a DeFrictor nano catheter (Medico’s Hirata, Osaka, Japan) and TENROU S10 (Kaneka Medix, Osaka, Japan) guide wire, mLSA cannulation was possible.",0.4753,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,47,aneurysm disappeared on angiography,72,0,not_found_auto,aneurysm disappeared angiography,29,A saccular aneurysm is observed adjacent to the lateral ventricle (arrowheads).,0.4074,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,48,postoperative head CT showed no hemorrhagic complications or cerebral infarction,72,0,not_found_auto,postoperative head ct showed no hemorrhagic complications or cerebral infarction,51,Course: There were no signs of hemorrhagic complications or cerebral infarction on the postoperative head CT.,0.6524,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,49,no impaired consciousness or paralysis,72,0,not_found_auto,no impaired consciousness or paralysis,52,Neither impaired consciousness nor paralysis developed.,0.8043,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,55,modified Rankin Scale score 1,4320,0,not_found_auto,modified rankin scale score 1,55,"However, after 6-month rehabilitation, she was discharged to home with a modified Rankin Scale (mRS) of 1.",0.4,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,7,leg injury,-1440,0,not_found_auto,leg injury,47,aeruginosa.,0.4,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,57,right heel unstageable,0,0,not_found_auto,right heel unstageable,31,The rehabilitative evaluations are presented in Table 1.,0.3896,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,58,left heel stage II,0,0,not_found_auto,left heel stage ii,106,CONFLICT OF INTEREST,0.3684,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,67,AF with third-degree AV block,72,0,not_found_auto,af third degree av block,100,-Able to consume pureed foods;,0.3846,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,71,transferred back to hospital,120,0,not_found_auto,transferred back to hospital,36,"Two days later, the patient was transferred to our hospital.",0.5349,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,72,P. aeruginosa bloodstream infection,120,0,not_found_auto,p aeruginosa bloodstream infection,46,"After 10 days, the patient presented with a bloodstream infection caused by P.",0.5273,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,81,completed C. difficile treatment,336,0,not_found_auto,completed c difficile treatment,44,Two days after completing treatment for the recurrence of C.,0.4,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,87,intravenous catheter replaced,360,0,not_found_auto,intravenous catheter replaced,101,-Inhales water;,0.4762,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,90,P. aeruginosa bloodstream infection,528,0,not_found_auto,p aeruginosa bloodstream infection,46,"After 10 days, the patient presented with a bloodstream infection caused by P.",0.5273,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,101,motor deficit,720,0,not_found_auto,motor deficit,91,Ideomotor and buccofacial apraxia;,0.4348,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,102,wheelchair recommended,720,0,not_found_auto,wheelchair recommended,6,tetani infection.,0.4211,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,103,walker recommended,720,0,not_found_auto,walker recommended,4,CASE REPORT,0.4138,,
dsr1,PMC10629858_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10629858_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10629858_body.txt,28,clinical deterioration,0,0,not_found_auto,clinical deterioration,9,Case Presentation,0.5128,,
dsr1,PMC10629858_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10629858_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10629858_body.txt,45,PET/CT,24,0,not_found_auto,pet ct,0,pmcIntroduction,0.381,,
dsr1,PMC10629858_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10629858_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10629858_body.txt,61,IV immunoglobulins for 5 days,-24,0,not_found_auto,iv immunoglobulin for 5 days,88,Funding Sources,0.3721,,
dsr1,PMC10629858_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10629858_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10629858_body.txt,63,ambulation,-24,0,not_found_auto,ambulation,0,pmcIntroduction,0.48,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,2,male,0,0,not_found_auto,male,5,Case Report,0.2667,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,16,returning with continuing epigastric pain,48 (2 days after discharge),0,not_found_auto,returning with continuing epigastric pain,9,"This pain was recurrent since his diagnosis with tropical pancreatitis, and often lasted between 1 and 3 days.",0.3624,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,17,pain gradually increasing in intensity,48,0,not_found_auto,pain gradually increasing in intensity,57,Our patient had multiple preexisting risk factors for the development of ASPD.,0.4,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,25,obstruction at neck of pancreas,48,0,not_found_auto,obstruction neck pancreas,0,Introduction,0.4324,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,43,transferred to medical ICU,72,0,not_found_auto,transferred to medical icu,25,The pancreas was diffusely echogenic.,0.3871,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,63,pancreatogram marked ductal dilatation,72,0,not_found_auto,pancreatogram marked ductal dilatation,34,"The pancreatogram showed marked dilatation of the main pancreatic duct, with a single distal calculus.",0.4493,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,66,evacuation of ~20 ml pus,72,0,not_found_auto,evacuation 20 ml pus,48,Discussion,0.3333,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,68,stent removed,72,0,not_found_auto,stent removed,5,Case Report,0.5,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,71,inflammatory changes in pancreatic fat,96,0,not_found_auto,inflammatory changes in pancreatic fat,39,It showed inflammatory changes within the fat surrounding the body and tail of the pancreas consistent with edema.,0.4636,,
dsr1,PMC3075162_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC3075162_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC3075162_body.txt,81,transferred from ICU,120,0,not_found_auto,transferred from icu,5,Case Report,0.3871,,
dsr1,PMC4778217_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC4778217_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC4778217_body.txt,51,linezolid stopped,96,0,not_found_auto,linezolid stopped,30,"Hence, both the drugs were stopped on the 2nd day.",0.3692,,
dsr1,PMC4778217_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC4778217_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC4778217_body.txt,52,rasagiline stopped,96,0,not_found_auto,rasagiline stopped,4,Case Report,0.3448,,
dsr1,PMC6238558_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC6238558_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC6238558_body.txt,54,MRI cervical spine normal,96,0,not_found_auto,mri cervical spine normal,59,MRI cervical spine was done to rule out cervical myelopathy.,0.5714,,
dsr1,PMC6238558_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC6238558_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC6238558_body.txt,57,CSF analysis no albuminocytologic dissociation,96,0,not_found_auto,csf analysis no albuminocytologic dissociation,12,He was hemodynamically stable and was disoriented but had no focal neurological deficit or neck rigidity.,0.3867,,
dsr1,PMC6238558_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC6238558_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC6238558_body.txt,58,started IV immunoglobulin therapy,96,0,not_found_auto,started iv immunoglobulin therapy,36,"Oral feeding was started, and aggressive limb and chest physiotherapy was continued.",0.3826,,
dsr1,PMC6238558_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC6238558_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC6238558_body.txt,60,improvement in limb weakness,216,0,not_found_auto,improvement in limb weaknes,39,Table 1 Motor nerve conduction velocity,0.3333,,
dsr1,PMC7576661_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC7576661_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC7576661_body.txt,23,serum phosphate level 1.07 mmol/L,336,0,not_found_auto,serum phosphate level 1 07 mmol l,59,IV Calcium gluconate 4.4 mmol IV 5x daily,0.4324,,
dsr1,PMC7576661_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC7576661_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC7576661_body.txt,38,normocalcaemia on follow-up,5856+1008=6864,0,not_found_auto,normocalcaemia follow up,46,Outcome and follow-up,0.4889,,
dsr1,PMC7576661_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC7576661_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC7576661_body.txt,39,weight 71.8 kg,6864,0,not_found_auto,weight 71 8 kg,20,Reference Range 1.11–1.28,0.3077,,
dsr1,PMC7576661_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC7576661_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC7576661_body.txt,40,BMI 29 kg/m²,6864,0,not_found_auto,bmi 29 kg m,57,0.25 µg IV daily $120,0.3333,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,3,liver transplantation (Piggyback LT),0,0,not_found_auto,liver transplantation piggyback lt,99,Days after liver transplantation Reported values,0.6098,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,17,fever (37–39°C),240,0,not_found_auto,fever 37 39 c,60,Figure 3.,0.381,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,18,procalcitonin (PCT) levels rose to 10.3 ng/mL,240,0,not_found_auto,procalcitonin pct levels rose to 10 3 ng ml,46,Procalcitonin (PCT) levels began to rise to 10.3 ng/mL (reference range (ref) 0–0.05) (Figure 3(b)).,0.6316,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,26,sputum culture positive for Acinetobacter baumannii,432,0,not_found_auto,sputum culture positive for acinetobacter baumannii,50,"On POD-18, a sputum culture suggested the presence of Acinetobacter baumannii and methicillin-resistant Staphylococcus aureus (MRSA) infections.",0.4607,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,32,WBC count 0.86 ×10^9/L,456,0,not_found_auto,wbc count 0 86 10 9 l,38,"Recipient 2,11 13,46 14,15 5,6",0.3922,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,33,platelet count 35 ×10^9/L,456,0,not_found_auto,platelet count 35 10 9 l,176,of patients 1 5 87 8,0.4545,,
dsr1,PMC9136437_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC9136437_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC9136437_body.txt,36,rash suspected as drug-related adverse reaction,456,0,not_found_auto,rash suspected as drug related adverse reaction,154,Such low-level mosaicism may be related to the acute rejection after LT.,0.4237,,
